"dob","is_strike"
2016-09-12,1
2016-09-13,1
2016-09-14,1
2016-09-15,1
2016-09-16,1
2016-09-17,1
2016-09-18,1
2016-09-19,1
2016-09-20,1
2016-09-21,1
2016-09-22,1
2016-09-23,1
2016-09-24,1
2016-09-25,1
2016-09-26,1
2016-09-27,1
2016-09-28,1
2016-09-29,1
2016-09-30,1
2016-10-01,1
2016-10-02,1
2016-10-03,1
2016-10-04,1
2016-10-05,1
2016-10-06,1
2016-10-07,1
2016-10-08,1
2016-10-09,1
2016-10-10,1
2016-10-11,1
2016-10-12,1
2016-10-13,1
2016-10-14,1
2016-10-15,1
2016-10-16,1
2020-09-21,1
2020-09-22,1
2020-09-23,1
2020-09-24,1
2020-09-25,1
2020-09-26,1
2020-09-27,1
2020-09-28,1
2020-09-29,1
2020-09-30,1
2020-10-01,1
